iter	Passed	Remaining
0	4	4600
1	6	3345
2	8	2862
3	10	2613
4	12	2407
5	13	2314
6	15	2251
7	18	2286
8	20	2229
9	21	2169
10	23	2113
11	25	2068
12	26	2039
13	28	1998
14	29	1969
15	31	1935
16	33	1936
17	35	1917
18	36	1895
19	38	1890
20	40	1892
21	42	1873
22	43	1868
23	45	1848
24	47	1846
25	49	1847
26	51	1839
27	52	1838
28	54	1830
29	56	1826
30	58	1816
31	59	1805
32	61	1806
33	63	1797
34	64	1787
35	66	1783
36	68	1774
37	69	1765
38	71	1763
39	73	1754
40	74	1747
41	76	1737
42	77	1730
43	79	1724
44	81	1723
45	82	1718
46	84	1708
47	85	1699
48	87	1690
49	88	1679
50	90	1676
51	91	1667
52	92	1658
53	94	1650
54	98	1686
55	99	1678
56	101	1673
57	103	1673
58	104	1669
59	106	1667
60	108	1665
61	109	1658
62	111	1656
63	113	1654
64	114	1648
65	116	1643
66	117	1639
67	119	1634
68	120	1630
69	122	1625
70	124	1622
71	125	1621
72	127	1616
73	129	1616
74	130	1612
75	132	1608
76	133	1604
77	135	1599
78	136	1597
79	138	1593
80	140	1593
81	141	1589
82	143	1583
83	145	1581
84	146	1579
85	148	1574
86	149	1570
87	151	1568
88	152	1565
89	154	1563
90	156	1563
91	158	1562
92	161	1575
93	163	1571
94	164	1569
95	166	1565
96	167	1561
97	169	1559
98	171	1558
99	173	1558
100	175	1559
101	177	1559
102	178	1556
103	180	1555
104	181	1550
105	183	1546
106	185	1545
107	186	1541
108	188	1538
109	189	1534
110	191	1533
111	193	1531
112	194	1528
113	196	1527
114	198	1526
115	200	1530
116	202	1528
117	203	1524
118	205	1521
119	207	1521
120	208	1517
121	210	1514
122	212	1513
123	213	1511
124	215	1508
125	217	1505
126	218	1503
127	220	1500
128	224	1514
129	226	1513
130	227	1510
131	229	1509
132	231	1507
133	232	1504
134	234	1504
135	236	1502
136	238	1500
137	240	1499
138	241	1496
139	243	1492
140	244	1489
141	246	1486
142	247	1483
143	249	1481
144	251	1480
145	252	1477
146	254	1475
147	255	1472
148	257	1469
149	258	1466
150	260	1463
151	261	1460
152	263	1457
153	265	1456
154	266	1453
155	268	1450
156	269	1449
157	271	1448
158	273	1445
159	274	1442
160	276	1439
161	277	1436
162	279	1435
163	281	1433
164	283	1432
165	284	1430
166	286	1427
167	287	1423
168	288	1420
169	290	1417
170	291	1414
171	293	1412
172	294	1409
173	296	1406
174	297	1402
175	299	1400
